ENSG00000171763	675	298	585	640	373	277	614	338	394	236	454	304	351	332	484	365	298	366	504	259
ENSG00000269609	295	62	175	87	425	51	136	308	220	58	108	63	164	115	63	62	161	178	88	123
ENSG00000273124	0	0	17	70	0	0	17	85	0	0	23	51	0	0	10	13	0	0	12	20
ENSG00000099284	171	27	84	241	91	42	314	209	117	57	177	234	493	270	703	715	120	96	330	194
ENSG00000273353	5	1	3	4	5	1	1	0	0	0	1	1	2	1	1	0	1	0	2	0
ENSG00000120942	878	404	315	238	837	456	454	168	666	360	428	116	810	605	580	201	428	501	599	139
ENSG00000101605	149	15	6	13	81	4	8	1	108	11	6	5	79	21	14	3	74	36	5	4
ENSG00000269371	2	1	0	1	2	0	0	1	4	2	0	1	6	2	1	1	0	0	0	0
ENSG00000184293	10	10	0	24	18	24	5	11	31	58	18	23	14	24	10	9	17	46	7	19
ENSG00000132763	263	74	61	47	158	56	43	28	188	84	35	27	219	145	96	36	103	68	50	22
ENSG00000181704	2945	1278	1282	1469	1453	1219	1209	827	1333	1045	1027	603	1446	1121	1273	780	1047	1472	1319	540
ENSG00000081923	3703	84	63	43	853	43	99	42	1821	84	97	28	1122	69	169	39	1480	182	204	22
ENSG00000111843	6888	1216	1944	1324	2248	901	1567	699	2447	1002	1426	548	2219	1186	1378	806	2073	1702	1922	802
ENSG00000074356	2372	980	1429	1426	1190	800	779	366	1388	789	712	435	1576	995	1173	735	1030	1013	1091	423
ENSG00000103356	995	634	360	102	589	371	272	85	566	421	276	47	875	814	572	202	459	517	461	99
ENSG00000112773	1725	1842	5185	3101	1244	2371	2387	1262	1241	1592	2275	652	1220	1429	2360	1316	942	1856	1941	1480
ENSG00000147100	161	9	60	37	143	83	299	228	134	89	168	95	560	275	695	373	270	276	601	263
ENSG00000099968	2588	2403	6817	5411	1434	1809	2940	2232	1559	1901	4176	2099	1877	2290	4999	3465	1164	2138	3870	2136
ENSG00000115042	751	172	303	135	470	150	210	106	368	117	189	58	397	209	289	152	331	193	278	105
ENSG00000170264	137	28	38	80	46	17	18	18	79	23	24	23	58	35	26	22	43	25	43	23
ENSG00000141933	764	257	122	228	292	161	118	74	363	330	105	102	515	367	219	210	260	335	164	98
ENSG00000072121	3621	2474	6409	5032	1965	2417	1376	1656	2381	2810	1997	1702	2061	2474	1808	2655	1314	2108	1185	1458
ENSG00000258994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000188636	1716	489	308	195	1274	489	509	169	1547	695	282	73	2161	1322	1002	444	1051	871	736	217
ENSG00000108953	24216	9461	15781	10872	12233	7836	9936	5413	12070	7184	9706	4426	13207	10336	12137	7452	10301	10853	12978	4940
ENSG00000163938	2702	1121	1370	792	1640	899	965	470	1354	662	865	324	1673	1499	1198	501	1445	1549	1922	785
ENSG00000182541	3153	14401	26483	18256	1453	11085	2748	17356	1209	12375	7032	15301	1871	12232	5435	12526	797	12532	3517	8513
ENSG00000168078	596	16	64	19	63	12	47	20	218	18	33	8	70	18	39	25	121	55	152	64
ENSG00000197776	107	45	15	54	25	12	5	4	30	24	7	4	33	20	25	9	40	44	25	10
ENSG00000113369	3339	2146	14262	5031	2481	2358	9557	1251	2181	3976	7916	2770	2122	1559	5676	1669	1553	2481	12805	1936
