A14_AF	0	1	0.28210422415418	0.399709707219471
A15_AF	0	1	0.296807642475737	-0.253865853501231
A19_AF	1	1	0.282960304219464	-0.224427958715302
A20_AF	1	1	0.244094600172788	0.333721511394828
A22_AF	1	1	0.32192409476389	-0.264999139960371
A24_AF	0	1	0.270464377937816	0.370066120259535
J10_AF	0	0	0.31058912062506	-0.212462742789559
J15_AF	1	0	0.277439732704945	0.193639578037099
J16_AF	1	0	0.322988023129341	-0.486901147012388
J18_AF	1	0	0.268088155152918	0.247117540317345
J8_AF	0	0	0.29896729895431	-0.035357999643659
J9_AF	0	0	0.277263854416094	0.157626609196694
